ID,credit_policy,purpose,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec
1,1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0
2,1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0
3,1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0
4,1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0
5,1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,1,0
6,1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51,0,0,0
7,1,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1
8,1,all_other,0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0
9,1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989,69909,51.1,1,0,0
10,1,debt_consolidation,0.1221,84.12,10.20359214,10,707,2730.041667,5630,23,1,0,0
11,1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71,2,0,1
12,1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,1,0
13,1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0
14,1,small_business,0.0714,92.82,11.51292546,6.5,747,4384,3021,4.8,0,1,0
15,1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0
16,1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0
